,RF,Log,SVM,XGB,stack
0,0.02400000000000002,0.0040000000000000036,0.03600000000000003,0.008000000000000007,0.03600000000000003
1,0.12399999999999994,0.055999999999999994,0.09600000000000003,0.11200000000000004,0.12000000000000005
2,0.02400000000000002,-0.016000000000000014,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036
3,0.09600000000000003,0.07600000000000001,0.08000000000000002,0.068,0.08000000000000002
4,0.055999999999999994,0.08400000000000002,0.05199999999999999,0.064,0.08000000000000002
5,-0.0040000000000000036,0.011999999999999955,0.05199999999999999,0.035999999999999976,0.035999999999999976
6,-0.06,-0.052000000000000046,-0.04800000000000004,-0.03200000000000003,-0.06
7,-0.043999999999999984,-0.055999999999999994,-0.05199999999999999,0.03200000000000003,0.0
8,0.02400000000000002,0.06800000000000006,0.02400000000000002,0.028000000000000025,0.03200000000000003
9,-0.052000000000000046,-0.03200000000000003,-0.064,0.01200000000000001,-0.064
10,0.064,0.07600000000000001,0.05199999999999999,0.068,0.09600000000000003
11,0.08000000000000002,0.068,0.05199999999999999,0.06,0.064
12,0.07200000000000001,0.05199999999999999,0.043999999999999984,0.068,0.10000000000000003
13,0.03200000000000003,-0.023999999999999966,0.03200000000000003,0.06000000000000005,0.03200000000000003
14,0.043999999999999984,0.043999999999999984,0.08000000000000002,0.068,0.11200000000000004
15,0.10400000000000004,0.03999999999999998,0.13999999999999996,0.13199999999999995,0.08800000000000002
16,0.035999999999999976,0.03999999999999998,0.064,-0.008000000000000007,0.064
17,0.043999999999999984,0.06,0.064,0.08400000000000002,0.08400000000000002
18,0.07600000000000001,0.03999999999999998,0.03999999999999998,0.12800000000000006,0.13599999999999995
19,0.10800000000000004,0.055999999999999994,0.07200000000000001,0.08800000000000002,0.13199999999999995
20,0.07200000000000001,0.04799999999999999,0.068,0.10400000000000004,0.13999999999999996
21,-0.068,-0.068,-0.07200000000000001,-0.07600000000000001,-0.07200000000000001
22,0.02400000000000002,-0.04799999999999999,-0.0040000000000000036,0.01200000000000001,0.040000000000000036
23,-0.052000000000000046,-0.03200000000000003,-0.06,-0.04800000000000004,-0.05600000000000005
24,-0.0040000000000000036,0.03600000000000003,0.03200000000000003,0.008000000000000007,0.040000000000000036
25,-0.040000000000000036,-0.08800000000000002,0.028000000000000025,-0.008000000000000007,-0.04800000000000004
26,0.04400000000000004,0.020000000000000018,0.03200000000000003,0.06800000000000006,0.03200000000000003
27,0.04400000000000004,-0.035999999999999976,0.020000000000000018,0.052000000000000046,0.04800000000000004
28,-0.03600000000000003,-0.068,-0.028000000000000025,0.016000000000000014,-0.02400000000000002
29,0.064,0.043999999999999984,0.016000000000000014,0.10800000000000004,0.12799999999999995
30,0.07600000000000001,0.043999999999999984,0.043999999999999984,0.09600000000000003,0.08000000000000002
31,0.02400000000000002,0.020000000000000018,0.13999999999999996,0.10400000000000004,0.11600000000000005
32,0.10400000000000004,0.09200000000000003,0.10400000000000004,0.12799999999999995,0.12799999999999995
33,0.068,0.035999999999999976,-0.0040000000000000036,0.10799999999999993,0.064
34,0.08000000000000002,0.08000000000000002,0.020000000000000018,0.08400000000000002,0.14799999999999996
35,0.08000000000000002,0.023999999999999966,0.06,0.08800000000000002,0.08800000000000002
36,0.040000000000000036,-0.008000000000000007,0.0040000000000000036,0.09599999999999997,0.03200000000000003
37,0.05600000000000005,0.06400000000000006,0.05600000000000005,0.05600000000000005,0.05600000000000005
38,0.03600000000000003,0.020000000000000018,0.06400000000000006,0.04400000000000004,0.02400000000000002
39,0.06000000000000005,-0.007999999999999952,0.09199999999999997,0.10799999999999998,0.05600000000000005
40,0.02799999999999997,0.03199999999999997,0.064,0.008000000000000007,0.019999999999999962
41,0.11199999999999993,0.03999999999999998,0.07600000000000001,0.10400000000000004,0.09600000000000003
42,0.10400000000000004,0.05199999999999999,0.15199999999999997,0.13200000000000006,0.15199999999999997
43,0.0,0.0040000000000000036,0.02400000000000002,0.020000000000000018,0.03200000000000003
44,-0.0040000000000000036,-0.06,-0.008000000000000007,0.04400000000000004,-0.008000000000000007
45,-0.028000000000000025,-0.028000000000000025,-0.06,-0.0040000000000000036,-0.028000000000000025
46,-0.04400000000000004,-0.06,-0.055999999999999994,0.028000000000000025,-0.04800000000000004
47,0.10400000000000004,0.08000000000000002,0.09600000000000003,0.10800000000000004,0.09600000000000003
48,-0.08000000000000002,-0.11200000000000004,-0.08000000000000002,-0.01200000000000001,-0.08000000000000002
49,0.064,-0.020000000000000018,0.035999999999999976,0.07200000000000001,0.064
50,0.055999999999999994,0.043999999999999984,0.08000000000000002,0.07600000000000001,0.08400000000000002
51,0.09199999999999997,0.09599999999999997,0.11199999999999999,0.136,0.18399999999999994
52,0.09200000000000003,0.008000000000000007,0.07200000000000001,0.11599999999999994,0.09600000000000003
53,0.08000000000000002,0.02400000000000002,0.12000000000000005,0.09600000000000003,0.12000000000000005
54,0.04799999999999999,0.04799999999999999,0.043999999999999984,0.04799999999999999,0.09600000000000003
55,0.04400000000000004,0.0040000000000000036,0.040000000000000036,0.10399999999999998,0.052000000000000046
56,0.02400000000000002,0.0040000000000000036,0.020000000000000018,-0.035999999999999976,0.02400000000000002
57,-0.064,0.028000000000000025,-0.03200000000000003,0.016000000000000014,-0.03200000000000003
58,0.068,0.06,0.064,0.11199999999999993,0.064
59,0.03999999999999998,0.05199999999999999,0.10400000000000004,0.08400000000000002,0.10400000000000004
