,RF1,RF2,RF3,RF4,RF5,LOG1,LOG2,LOG3,LOG4,LOG5,SVM1,SVM2,SVM3,SVM4,SVM5,STACK1,STACK2,STACK3,STACK4,STACK5
0,-0.08000000000000007,0.0,0.06000000000000005,-0.08399999999999996,-0.03600000000000003,-0.05600000000000005,0.03600000000000003,0.06400000000000006,-0.09199999999999997,-0.016000000000000014,-0.07200000000000006,-0.020000000000000018,0.06800000000000006,-0.09199999999999997,-0.0040000000000000036,-0.08000000000000007,0.040000000000000036,0.040000000000000036,-0.09999999999999992,-0.016000000000000014
1,-0.01200000000000001,0.03600000000000003,0.028000000000000025,0.01200000000000001,0.035999999999999976,-0.03999999999999998,0.03200000000000003,0.08000000000000002,-0.04799999999999999,0.043999999999999984,-0.01200000000000001,0.0040000000000000036,0.08000000000000002,0.0,0.05199999999999999,0.0,-0.008000000000000007,0.0,-0.0040000000000000036,0.07200000000000001
2,-0.011999999999999955,-0.019999999999999962,-0.0040000000000000036,-0.03200000000000003,0.035999999999999976,-0.05199999999999999,0.008000000000000007,-0.043999999999999984,-0.052000000000000046,0.02799999999999997,-0.01599999999999996,0.016000000000000014,-0.0040000000000000036,-0.04400000000000004,0.011999999999999955,0.01200000000000001,-0.011999999999999955,-0.016000000000000014,-0.02400000000000002,0.07200000000000001
3,-0.03200000000000003,-0.040000000000000036,-0.09199999999999997,-0.020000000000000018,0.01200000000000001,-0.064,-0.10000000000000003,-0.12399999999999994,-0.01200000000000001,0.040000000000000036,0.0,-0.07600000000000007,-0.08799999999999997,-0.055999999999999994,0.07200000000000006,-0.03200000000000003,-0.11200000000000004,-0.15599999999999997,0.008000000000000007,0.052000000000000046
4,-0.01200000000000001,-0.04800000000000004,0.02400000000000002,0.03600000000000003,-0.03999999999999998,-0.04800000000000004,-0.06000000000000005,0.052000000000000046,-0.0040000000000000036,-0.008000000000000007,-0.03600000000000003,-0.08000000000000002,0.06400000000000006,-0.01200000000000001,0.016000000000000014,0.008000000000000007,-0.05600000000000005,-0.0040000000000000036,0.016000000000000014,-0.0040000000000000036
5,-0.01200000000000001,0.0,-0.04400000000000004,0.0040000000000000036,0.028000000000000025,-0.06000000000000005,0.008000000000000007,-0.08000000000000002,-0.052000000000000046,0.06000000000000005,-0.04400000000000004,0.020000000000000018,-0.040000000000000036,0.0,0.04800000000000004,-0.008000000000000007,0.03600000000000003,-0.040000000000000036,-0.06000000000000005,0.03200000000000003
6,-0.02400000000000002,-0.06400000000000006,0.06000000000000005,-0.052000000000000046,0.12399999999999994,-0.11200000000000004,-0.06400000000000006,0.020000000000000018,-0.040000000000000036,0.02400000000000002,-0.028000000000000025,-0.016000000000000014,0.0,-0.01200000000000001,0.07200000000000001,-0.03200000000000003,-0.13600000000000007,0.01200000000000001,0.05599999999999994,0.064
7,-0.09600000000000003,0.06,0.035999999999999976,-0.023999999999999966,0.02799999999999997,-0.12800000000000006,0.07600000000000001,0.09200000000000003,0.04400000000000004,0.03999999999999998,-0.05600000000000005,-0.008000000000000007,0.09600000000000003,0.0,0.068,-0.05600000000000005,0.0,0.0,0.0,0.07200000000000001
8,-0.03200000000000003,0.02400000000000002,0.04400000000000004,-0.06400000000000006,0.03200000000000003,-0.040000000000000036,0.07599999999999996,0.04400000000000004,-0.06000000000000005,0.02400000000000002,0.02400000000000002,-0.008000000000000007,0.04800000000000004,-0.04400000000000004,0.02400000000000002,0.051999999999999935,0.0,0.020000000000000018,0.016000000000000014,0.02400000000000002
9,0.028000000000000025,-0.020000000000000018,0.008000000000000007,-0.14399999999999996,0.055999999999999994,0.0,0.0040000000000000036,0.02400000000000002,-0.08799999999999997,0.043999999999999984,-0.0040000000000000036,-0.06,0.040000000000000036,-0.07199999999999995,0.04799999999999999,0.0,0.020000000000000018,0.03200000000000003,-0.05599999999999994,0.07200000000000001
