,RF,Log,SVM,XGB,stack
0,-0.0040000000000000036,0.008000000000000007,0.0,-0.07600000000000001,0.0
1,-0.020000000000000018,-0.01200000000000001,-0.0040000000000000036,-0.02400000000000002,0.0
2,-0.064,-0.028000000000000025,-0.064,-0.01200000000000001,0.0
3,-0.08000000000000002,-0.08000000000000002,-0.028000000000000025,-0.03600000000000003,-0.06000000000000005
4,0.023999999999999966,-0.0040000000000000036,-0.016000000000000014,-0.0040000000000000036,0.0
5,0.008000000000000007,-0.040000000000000036,-0.03600000000000003,-0.020000000000000018,-0.016000000000000014
6,0.027999999999999914,-0.06400000000000006,0.0,-0.04800000000000004,-0.08800000000000002
7,0.04800000000000004,0.052000000000000046,0.0,0.020000000000000018,0.0
8,-0.040000000000000036,-0.008000000000000007,-0.07600000000000007,-0.03600000000000003,-0.02400000000000002
9,-0.020000000000000018,-0.043999999999999984,-0.05199999999999999,-0.02400000000000002,-0.016000000000000014
10,0.007999999999999896,-0.09600000000000003,-0.06400000000000006,-0.040000000000000036,-0.03200000000000003
11,-0.052000000000000046,-0.06800000000000006,-0.016000000000000014,-0.052000000000000046,0.0
12,-0.020000000000000018,-0.04800000000000004,0.01200000000000001,-0.0040000000000000036,0.0
13,-0.01200000000000001,-0.06000000000000005,0.0,-0.06800000000000006,-0.06000000000000005
14,-0.016000000000000014,-0.04799999999999999,-0.043999999999999984,0.03200000000000003,0.0
15,-0.03600000000000003,-0.05199999999999999,0.028000000000000025,0.008000000000000007,0.0
16,-0.0040000000000000036,-0.02400000000000002,-0.020000000000000018,0.0040000000000000036,-0.0040000000000000036
17,-0.04400000000000004,-0.06400000000000006,-0.040000000000000036,-0.03200000000000003,0.0
18,-0.0040000000000000036,-0.05600000000000005,-0.052000000000000046,-0.03600000000000003,-0.02400000000000002
19,-0.016000000000000014,-0.028000000000000025,0.0,-0.028000000000000025,0.01200000000000001
20,-0.04800000000000004,-0.028000000000000025,0.0,-0.028000000000000025,0.01200000000000001
21,-0.040000000000000036,-0.07200000000000001,-0.016000000000000014,-0.03200000000000003,-0.0040000000000000036
22,-0.09200000000000003,-0.14000000000000007,-0.08800000000000002,-0.06800000000000006,-0.052000000000000046
23,-0.0040000000000000036,-0.07600000000000007,-0.04400000000000004,0.0119999999999999,-0.052000000000000046
24,0.020000000000000018,-0.016000000000000014,0.0,0.028000000000000025,0.0
25,0.01200000000000001,-0.04799999999999999,0.0,0.01200000000000001,0.0
26,-0.008000000000000007,-0.028000000000000025,0.0,0.020000000000000018,0.0
27,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,-0.020000000000000018,0.008000000000000007
28,0.02400000000000002,-0.035999999999999976,0.0040000000000000036,-0.03999999999999998,0.0
29,-0.0040000000000000036,-0.02400000000000002,0.0040000000000000036,0.016000000000000014,0.0
30,-0.03200000000000003,-0.03200000000000003,0.0,-0.07600000000000001,0.0
31,-0.04800000000000004,-0.04400000000000004,-0.04400000000000004,-0.03600000000000003,0.0
32,0.020000000000000018,-0.007999999999999952,-0.007999999999999952,0.05600000000000005,-0.0040000000000000036
33,-0.03600000000000003,-0.01200000000000001,0.0,-0.07600000000000001,-0.064
34,-0.03600000000000003,-0.05199999999999999,0.0040000000000000036,0.051999999999999935,0.0
35,0.01599999999999996,-0.01200000000000001,0.06,-0.016000000000000014,0.0
36,-0.052000000000000046,-0.020000000000000018,-0.03200000000000003,-0.04400000000000004,0.0040000000000000036
37,-0.020000000000000018,-0.08000000000000002,-0.008000000000000007,0.01200000000000001,0.01200000000000001
38,0.0,-0.016000000000000014,-0.0040000000000000036,0.01200000000000001,0.0
39,-0.04399999999999993,-0.08399999999999996,-0.07999999999999996,-0.07599999999999996,-0.07999999999999996
40,-0.043999999999999984,-0.08400000000000002,-0.055999999999999994,0.016000000000000014,-0.028000000000000025
41,0.039999999999999925,-0.04800000000000004,-0.04400000000000004,0.01200000000000001,-0.06000000000000005
42,-0.04800000000000004,-0.016000000000000014,-0.07600000000000001,-0.028000000000000025,-0.016000000000000014
43,-0.06400000000000006,-0.14000000000000007,-0.04400000000000004,-0.08400000000000007,-0.052000000000000046
44,-0.09599999999999997,-0.11599999999999999,-0.07599999999999996,-0.09599999999999997,-0.09599999999999997
45,-0.01200000000000001,0.0040000000000000036,0.0,0.020000000000000018,0.0
46,-0.016000000000000014,-0.03600000000000003,-0.09200000000000003,-0.020000000000000018,0.0
